Species,X,Y
Species 3,1,1
Species 3,0.95,0.9987
Species 3,0.9,0.9975
Species 3,0.85,0.9962
Species 3,0.8,0.9949
Species 3,0.75,0.9936
Species 3,0.7,0.9924
Species 3,0.65,0.9911
Species 3,0.6,0.9898
Species 3,0.55,0.9886
Species 3,0.5,0.9873
Species 3,0.45,0.9861
Species 3,0.4,0.9848
Species 3,0.35,0.9836
Species 3,0.3,0.9824
Species 3,0.25,0.9812
Species 3,0.2,0.98
Species 3,0.15,0.9788
Species 3,0.1,0.9776
Species 3,0.05,0.9764
Species 3,0,0.9753
Species 5,1,1
Species 5,0.95,0.8926
Species 5,0.9,0.7953
Species 5,0.85,0.7089
Species 5,0.8,0.6336
Species 5,0.75,0.5689
Species 5,0.7,0.514
Species 5,0.65,0.4677
Species 5,0.6,0.429
Species 5,0.55,0.3965
Species 5,0.5,0.3694
Species 5,0.45,0.3466
Species 5,0.4,0.3273
Species 5,0.35,0.3108
Species 5,0.3,0.2966
Species 5,0.25,0.2843
Species 5,0.2,0.2733
Species 5,0.15,0.2636
Species 5,0.1,0.2548
Species 5,0.05,0.2467
Species 5,0,0.2392
Species 2,1,1
Species 2,0.95,1.0142
Species 2,0.9,1.0676
Species 2,0.85,1.148
Species 2,0.8,1.246
Species 2,0.75,1.3543
Species 2,0.7,1.4656
Species 2,0.65,1.5711
Species 2,0.6,1.6603
Species 2,0.55,1.7217
Species 2,0.5,1.7439
Species 2,0.45,1.7172
Species 2,0.4,1.6344
Species 2,0.35,1.49
Species 2,0.3,1.2813
Species 2,0.25,1.0124
Species 2,0.2,0.7052
Species 2,0.15,0.4107
Species 2,0.1,0.1923
Species 2,0.05,0.0732
Species 2,0,0.0244
Species 7,1,1
Species 7,0.95,0.9147
Species 7,0.9,0.8298
Species 7,0.85,0.7464
Species 7,0.8,0.6656
Species 7,0.75,0.5886
Species 7,0.7,0.5164
Species 7,0.65,0.4497
Species 7,0.6,0.3891
Species 7,0.55,0.3348
Species 7,0.5,0.2869
Species 7,0.45,0.245
Species 7,0.4,0.2087
Species 7,0.35,0.1776
Species 7,0.3,0.1511
Species 7,0.25,0.1285
Species 7,0.2,0.1094
Species 7,0.15,0.0933
Species 7,0.1,0.0797
Species 7,0.05,0.0683
Species 7,0,0.0587
Species 6,1,1
Species 6,0.95,1.0024
Species 6,0.9,1.0048
Species 6,0.85,1.0071
Species 6,0.8,1.0095
Species 6,0.75,1.0117
Species 6,0.7,1.0139
Species 6,0.65,1.0161
Species 6,0.6,1.0181
Species 6,0.55,1.0201
Species 6,0.5,1.0219
Species 6,0.45,1.0236
Species 6,0.4,1.0252
Species 6,0.35,1.0266
Species 6,0.3,1.028
Species 6,0.25,1.0291
Species 6,0.2,1.0301
Species 6,0.15,1.0309
Species 6,0.1,1.0316
Species 6,0.05,1.0322
Species 6,0,1.0325
Species 4,1,1
Species 4,0.95,1.0021
Species 4,0.9,1.0043
Species 4,0.85,1.0064
Species 4,0.8,1.0086
Species 4,0.75,1.0108
Species 4,0.7,1.013
Species 4,0.65,1.0153
Species 4,0.6,1.0175
Species 4,0.55,1.0198
Species 4,0.5,1.0221
Species 4,0.45,1.0243
Species 4,0.4,1.0267
Species 4,0.35,1.029
Species 4,0.3,1.0313
Species 4,0.25,1.0336
Species 4,0.2,1.036
Species 4,0.15,1.0383
Species 4,0.1,1.0406
Species 4,0.05,1.043
Species 4,0,1.0453
Species 1,1,1
Species 1,0.95,1.0154
Species 1,0.9,1.0291
Species 1,0.85,1.0406
Species 1,0.8,1.0494
Species 1,0.75,1.055
Species 1,0.7,1.0573
Species 1,0.65,1.0561
Species 1,0.6,1.0512
Species 1,0.55,1.0427
Species 1,0.5,1.0305
Species 1,0.45,1.0148
Species 1,0.4,0.9957
Species 1,0.35,0.9732
Species 1,0.3,0.9476
Species 1,0.25,0.9193
Species 1,0.2,0.8885
Species 1,0.15,0.8558
Species 1,0.1,0.8219
Species 1,0.05,0.7876
Species 1,0,0.7537
