Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.00002,1.1028e+005,0.99999,1.00000,1.00000,0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00102,1.1017e+005,0.99950,0.99975,0.99977,0.00003,0.00006,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00201,1.1006e+005,0.99897,0.99948,0.99951,0.00004,0.00012,0.999,1.000,0.999,1.000,0.999,0.999,1.000
0.00301,1.0995e+005,0.99835,0.99913,0.99918,0.00005,0.00020,0.998,1.000,0.999,1.000,0.999,0.999,0.999
0.00401,1.0984e+005,0.99768,0.99874,0.99882,0.00006,0.00030,0.998,1.000,0.999,0.999,0.999,0.999,0.999
0.00501,1.0973e+005,0.99699,0.99832,0.99842,0.00007,0.00039,0.997,0.999,0.998,0.999,0.998,0.998,0.998
0.00600,1.0962e+005,0.99627,0.99788,0.99801,0.00008,0.00050,0.996,0.999,0.998,0.998,0.998,0.998,0.997
0.00700,1.0951e+005,0.99563,0.99743,0.99759,0.00008,0.00060,0.996,0.999,0.997,0.998,0.998,0.998,0.997
0.00800,1.094e+005,0.99501,0.99701,0.99718,0.00008,0.00070,0.995,0.999,0.997,0.998,0.997,0.997,0.996
0.00900,1.0929e+005,0.99436,0.99657,0.99677,0.00009,0.00081,0.994,0.998,0.996,0.997,0.997,0.997,0.995
0.00999,1.0918e+005,0.99376,0.99613,0.99635,0.00009,0.00091,0.994,0.998,0.996,0.997,0.996,0.997,0.995
0.01099,1.0907e+005,0.99311,0.99569,0.99594,0.00009,0.00102,0.993,0.998,0.996,0.997,0.996,0.996,0.994
0.01199,1.0896e+005,0.99250,0.99525,0.99552,0.00009,0.00112,0.992,0.998,0.995,0.997,0.995,0.996,0.993
0.01298,1.0885e+005,0.99187,0.99480,0.99510,0.00009,0.00123,0.992,0.998,0.995,0.996,0.995,0.995,0.993
0.01398,1.0874e+005,0.99127,0.99435,0.99467,0.00009,0.00134,0.991,0.997,0.994,0.996,0.994,0.995,0.992
0.01498,1.0863e+005,0.99067,0.99390,0.99423,0.00010,0.00145,0.991,0.997,0.994,0.996,0.994,0.995,0.991
0.01598,1.0852e+005,0.99006,0.99344,0.99379,0.00010,0.00156,0.990,0.997,0.993,0.995,0.994,0.994,0.991
0.01697,1.0841e+005,0.98947,0.99296,0.99334,0.00010,0.00167,0.989,0.996,0.993,0.995,0.993,0.994,0.990
0.01797,1.083e+005,0.98881,0.99247,0.99288,0.00010,0.00179,0.989,0.996,0.992,0.995,0.993,0.994,0.989
0.01897,1.0819e+005,0.98815,0.99196,0.99239,0.00010,0.00191,0.988,0.996,0.992,0.994,0.992,0.993,0.988
0.01997,1.0808e+005,0.98746,0.99146,0.99190,0.00010,0.00203,0.987,0.995,0.991,0.994,0.992,0.993,0.988
0.02096,1.0797e+005,0.98678,0.99095,0.99142,0.00010,0.00215,0.987,0.995,0.991,0.993,0.991,0.993,0.987
0.02196,1.0786e+005,0.98603,0.99045,0.99095,0.00010,0.00227,0.986,0.995,0.991,0.993,0.991,0.992,0.986
0.02296,1.0775e+005,0.98528,0.98994,0.99046,0.00011,0.00239,0.985,0.995,0.990,0.992,0.990,0.992,0.985
0.02396,1.0764e+005,0.98448,0.98942,0.98997,0.00011,0.00252,0.985,0.994,0.990,0.992,0.990,0.991,0.984
0.02495,1.0753e+005,0.98376,0.98893,0.98949,0.00011,0.00264,0.984,0.994,0.989,0.992,0.989,0.991,0.984
0.02595,1.0742e+005,0.98301,0.98842,0.98901,0.00011,0.00276,0.983,0.994,0.989,0.991,0.989,0.991,0.983
0.02695,1.0731e+005,0.98239,0.98794,0.98855,0.00011,0.00288,0.983,0.993,0.988,0.991,0.988,0.990,0.982
0.02795,1.072e+005,0.98168,0.98745,0.98808,0.00011,0.00300,0.982,0.993,0.988,0.990,0.988,0.990,0.982
0.02894,1.0709e+005,0.98105,0.98696,0.98761,0.00011,0.00311,0.982,0.993,0.987,0.990,0.987,0.989,0.981
0.02994,1.0698e+005,0.98042,0.98647,0.98714,0.00011,0.00323,0.981,0.992,0.987,0.990,0.987,0.989,0.980
0.03094,1.0687e+005,0.97984,0.98599,0.98668,0.00011,0.00335,0.980,0.992,0.986,0.990,0.986,0.988,0.980
0.03194,1.0676e+005,0.97922,0.98551,0.98623,0.00011,0.00346,0.979,0.992,0.986,0.989,0.986,0.988,0.979
0.03293,1.0665e+005,0.97855,0.98501,0.98575,0.00011,0.00358,0.979,0.991,0.985,0.989,0.985,0.987,0.979
0.03393,1.0654e+005,0.97787,0.98452,0.98527,0.00011,0.00371,0.978,0.991,0.985,0.989,0.985,0.987,0.978
0.03493,1.0643e+005,0.97721,0.98403,0.98480,0.00011,0.00382,0.977,0.991,0.984,0.988,0.984,0.986,0.977
0.03593,1.0632e+005,0.97651,0.98355,0.98433,0.00011,0.00394,0.977,0.991,0.984,0.988,0.984,0.986,0.977
0.03692,1.0621e+005,0.97584,0.98305,0.98386,0.00011,0.00406,0.976,0.990,0.983,0.988,0.983,0.985,0.976
0.03792,1.061e+005,0.97515,0.98255,0.98338,0.00011,0.00418,0.976,0.990,0.983,0.987,0.983,0.985,0.975
0.03892,1.0599e+005,0.97439,0.98206,0.98290,0.00011,0.00430,0.975,0.990,0.982,0.987,0.982,0.984,0.974
0.03992,1.0588e+005,0.97364,0.98156,0.98242,0.00011,0.00443,0.974,0.989,0.982,0.987,0.982,0.984,0.974
0.04091,1.0577e+005,0.97293,0.98107,0.98195,0.00011,0.00455,0.974,0.989,0.981,0.986,0.981,0.983,0.973
0.04191,1.0566e+005,0.97219,0.98057,0.98148,0.00011,0.00467,0.973,0.989,0.981,0.986,0.981,0.983,0.972
0.04291,1.0555e+005,0.97138,0.98005,0.98098,0.00011,0.00479,0.972,0.988,0.980,0.985,0.980,0.982,0.971
0.04391,1.0544e+005,0.97066,0.97954,0.98050,0.00011,0.00492,0.972,0.988,0.980,0.985,0.980,0.982,0.971
0.04490,1.0533e+005,0.96999,0.97905,0.98003,0.00011,0.00503,0.971,0.988,0.979,0.985,0.979,0.981,0.970
0.04590,1.0522e+005,0.96933,0.97855,0.97955,0.00012,0.00516,0.971,0.987,0.979,0.985,0.978,0.981,0.969
0.04690,1.0511e+005,0.96859,0.97803,0.97905,0.00012,0.00528,0.970,0.987,0.978,0.984,0.978,0.980,0.969
0.04789,1.05e+005,0.96782,0.97751,0.97854,0.00012,0.00541,0.969,0.987,0.978,0.984,0.977,0.980,0.968
0.04889,1.0489e+005,0.96716,0.97700,0.97805,0.00012,0.00554,0.969,0.986,0.977,0.983,0.977,0.979,0.967
0.04989,1.0478e+005,0.96645,0.97649,0.97755,0.00012,0.00566,0.968,0.986,0.977,0.983,0.976,0.979,0.966
0.05089,1.0467e+005,0.96578,0.97598,0.97706,0.00012,0.00579,0.967,0.986,0.976,0.983,0.976,0.978,0.966
0.05188,1.0456e+005,0.96510,0.97546,0.97656,0.00012,0.00592,0.967,0.985,0.976,0.983,0.975,0.978,0.965
0.05288,1.0445e+005,0.96434,0.97491,0.97604,0.00012,0.00605,0.966,0.985,0.975,0.982,0.975,0.977,0.964
0.05388,1.0434e+005,0.96364,0.97440,0.97554,0.00012,0.00618,0.965,0.985,0.975,0.982,0.974,0.976,0.964
0.05488,1.0423e+005,0.96292,0.97388,0.97503,0.00012,0.00631,0.965,0.984,0.974,0.982,0.974,0.976,0.963
0.05587,1.0412e+005,0.96221,0.97335,0.97452,0.00012,0.00644,0.964,0.984,0.973,0.981,0.973,0.975,0.962
