Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7,Planned Urban Development
0.00002,1.1028e+005,1.00000,1.00000,1.00000,0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00102,1.1017e+005,0.99948,0.99978,0.99979,0.00003,0.00005,0.999,1.000,1.000,1.000,1.000,1.000,1.000,0.998
0.00201,1.1006e+005,0.99890,0.99954,0.99957,0.00004,0.00011,0.999,1.000,0.999,1.000,1.000,0.999,1.000,0.997
0.00301,1.0995e+005,0.99820,0.99926,0.99930,0.00005,0.00017,0.998,1.000,0.999,1.000,0.999,0.999,1.000,0.995
0.00401,1.0984e+005,0.99745,0.99894,0.99899,0.00005,0.00025,0.997,1.000,0.998,1.000,0.999,0.998,1.000,0.994
0.00501,1.0973e+005,0.99664,0.99855,0.99863,0.00006,0.00034,0.997,1.000,0.998,1.000,0.999,0.997,1.000,0.992
0.00600,1.0962e+005,0.99581,0.99814,0.99824,0.00007,0.00044,0.996,1.000,0.997,1.000,0.998,0.997,0.999,0.990
0.00700,1.0951e+005,0.99498,0.99771,0.99784,0.00007,0.00054,0.995,1.000,0.997,1.000,0.998,0.996,0.999,0.989
0.00800,1.094e+005,0.99419,0.99727,0.99742,0.00008,0.00064,0.994,0.999,0.996,1.000,0.997,0.995,0.999,0.987
0.00900,1.0929e+005,0.99335,0.99683,0.99701,0.00008,0.00075,0.993,0.999,0.996,1.000,0.997,0.994,0.998,0.986
0.00999,1.0918e+005,0.99246,0.99639,0.99659,0.00008,0.00085,0.992,0.999,0.995,0.999,0.997,0.993,0.998,0.984
0.01099,1.0907e+005,0.99158,0.99595,0.99618,0.00008,0.00096,0.992,0.999,0.995,0.999,0.996,0.993,0.998,0.982
0.01199,1.0896e+005,0.99076,0.99552,0.99576,0.00009,0.00106,0.991,0.999,0.994,0.999,0.996,0.992,0.998,0.981
0.01298,1.0885e+005,0.98999,0.99509,0.99535,0.00009,0.00116,0.990,0.999,0.994,0.999,0.995,0.991,0.997,0.979
0.01398,1.0874e+005,0.98923,0.99465,0.99493,0.00009,0.00127,0.989,0.999,0.993,0.999,0.995,0.990,0.997,0.978
0.01498,1.0863e+005,0.98844,0.99419,0.99449,0.00009,0.00138,0.988,0.998,0.993,0.999,0.994,0.989,0.997,0.976
0.01598,1.0852e+005,0.98764,0.99372,0.99404,0.00009,0.00150,0.988,0.998,0.992,0.999,0.994,0.989,0.997,0.974
0.01697,1.0841e+005,0.98684,0.99325,0.99359,0.00009,0.00161,0.987,0.998,0.991,0.999,0.994,0.988,0.996,0.973
0.01797,1.083e+005,0.98604,0.99277,0.99313,0.00010,0.00172,0.986,0.998,0.991,0.999,0.993,0.987,0.996,0.971
0.01897,1.0819e+005,0.98524,0.99230,0.99267,0.00010,0.00184,0.985,0.998,0.990,0.999,0.993,0.986,0.996,0.970
0.01997,1.0808e+005,0.98441,0.99183,0.99222,0.00010,0.00195,0.984,0.997,0.990,0.999,0.993,0.985,0.995,0.968
0.02096,1.0797e+005,0.98349,0.99134,0.99174,0.00010,0.00207,0.983,0.997,0.989,0.999,0.992,0.984,0.995,0.967
0.02196,1.0786e+005,0.98256,0.99083,0.99125,0.00010,0.00220,0.983,0.997,0.988,0.998,0.992,0.983,0.995,0.965
0.02296,1.0775e+005,0.98161,0.99032,0.99076,0.00010,0.00232,0.982,0.997,0.988,0.998,0.992,0.982,0.994,0.963
0.02396,1.0764e+005,0.98074,0.98982,0.99027,0.00010,0.00245,0.981,0.997,0.987,0.998,0.991,0.981,0.994,0.962
0.02495,1.0753e+005,0.97975,0.98932,0.98978,0.00010,0.00257,0.980,0.996,0.987,0.998,0.991,0.980,0.993,0.960
0.02595,1.0742e+005,0.97870,0.98880,0.98928,0.00010,0.00269,0.979,0.996,0.986,0.998,0.991,0.979,0.993,0.959
0.02695,1.0731e+005,0.97765,0.98829,0.98878,0.00011,0.00282,0.978,0.996,0.985,0.998,0.991,0.978,0.993,0.957
0.02795,1.072e+005,0.97656,0.98777,0.98828,0.00011,0.00295,0.977,0.996,0.985,0.998,0.990,0.977,0.992,0.955
0.02894,1.0709e+005,0.97547,0.98726,0.98777,0.00011,0.00308,0.976,0.995,0.984,0.998,0.990,0.975,0.992,0.954
0.02994,1.0698e+005,0.97435,0.98674,0.98726,0.00011,0.00321,0.976,0.995,0.983,0.998,0.990,0.974,0.992,0.952
0.03094,1.0687e+005,0.97323,0.98622,0.98676,0.00011,0.00333,0.975,0.995,0.982,0.998,0.989,0.973,0.991,0.951
0.03194,1.0676e+005,0.97220,0.98572,0.98626,0.00011,0.00346,0.974,0.995,0.982,0.997,0.989,0.972,0.991,0.949
0.03293,1.0665e+005,0.97105,0.98519,0.98573,0.00011,0.00359,0.973,0.994,0.981,0.997,0.989,0.971,0.991,0.947
0.03393,1.0654e+005,0.96979,0.98462,0.98517,0.00011,0.00374,0.972,0.994,0.980,0.997,0.989,0.970,0.990,0.946
0.03493,1.0643e+005,0.96850,0.98406,0.98460,0.00011,0.00388,0.971,0.993,0.980,0.997,0.988,0.968,0.990,0.944
0.03593,1.0632e+005,0.96723,0.98349,0.98404,0.00011,0.00402,0.970,0.993,0.979,0.997,0.988,0.967,0.990,0.942
0.03692,1.0621e+005,0.96591,0.98292,0.98347,0.00011,0.00417,0.970,0.993,0.978,0.997,0.988,0.966,0.989,0.941
0.03792,1.061e+005,0.96453,0.98235,0.98290,0.00011,0.00431,0.969,0.992,0.977,0.997,0.988,0.965,0.989,0.939
0.03892,1.0599e+005,0.96325,0.98180,0.98235,0.00011,0.00445,0.968,0.992,0.977,0.997,0.988,0.963,0.989,0.938
0.03992,1.0588e+005,0.96193,0.98123,0.98179,0.00012,0.00460,0.967,0.992,0.976,0.997,0.988,0.962,0.988,0.936
0.04091,1.0577e+005,0.96057,0.98066,0.98123,0.00012,0.00474,0.966,0.991,0.975,0.996,0.987,0.961,0.988,0.934
