Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.00002,1.1028e+005,1.00000,1.00000,1.00000,0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00102,1.1017e+005,0.99967,0.99986,0.99986,0.00002,0.00003,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00201,1.1006e+005,0.99921,0.99969,0.99969,0.00003,0.00008,0.999,1.000,1.000,1.000,1.000,0.999,1.000
0.00301,1.0995e+005,0.99872,0.99949,0.99950,0.00003,0.00012,0.999,1.000,0.999,1.000,1.000,0.999,1.000
0.00401,1.0984e+005,0.99818,0.99928,0.99929,0.00004,0.00018,0.999,1.000,0.999,1.000,1.000,0.998,1.000
0.00501,1.0973e+005,0.99762,0.99905,0.99907,0.00004,0.00023,0.998,1.000,0.999,1.000,1.000,0.998,1.000
0.00600,1.0962e+005,0.99706,0.99882,0.99884,0.00004,0.00029,0.998,1.000,0.998,1.000,0.999,0.997,1.000
0.00700,1.0951e+005,0.99649,0.99858,0.99860,0.00004,0.00035,0.997,0.999,0.998,1.000,0.999,0.996,1.000
0.00800,1.094e+005,0.99589,0.99831,0.99835,0.00005,0.00041,0.997,0.999,0.998,1.000,0.999,0.996,1.000
0.00900,1.0929e+005,0.99528,0.99805,0.99808,0.00005,0.00048,0.996,0.999,0.997,1.000,0.999,0.995,1.000
0.00999,1.0918e+005,0.99467,0.99777,0.99781,0.00005,0.00055,0.996,0.999,0.997,1.000,0.999,0.995,0.999
0.01099,1.0907e+005,0.99405,0.99747,0.99752,0.00005,0.00062,0.995,0.999,0.997,0.999,0.999,0.994,0.999
0.01199,1.0896e+005,0.99344,0.99716,0.99721,0.00005,0.00070,0.995,0.999,0.996,0.999,0.999,0.993,0.999
0.01298,1.0885e+005,0.99281,0.99685,0.99690,0.00006,0.00078,0.994,0.998,0.996,0.999,0.999,0.993,0.999
0.01398,1.0874e+005,0.99219,0.99653,0.99659,0.00006,0.00085,0.994,0.998,0.995,0.999,0.998,0.992,0.999
0.01498,1.0863e+005,0.99155,0.99620,0.99626,0.00006,0.00094,0.993,0.998,0.995,0.999,0.998,0.992,0.999
0.01598,1.0852e+005,0.99090,0.99588,0.99595,0.00006,0.00102,0.993,0.998,0.995,0.999,0.998,0.991,0.999
0.01697,1.0841e+005,0.99027,0.99552,0.99559,0.00006,0.00110,0.992,0.998,0.994,0.999,0.998,0.990,0.998
0.01797,1.083e+005,0.98961,0.99518,0.99526,0.00006,0.00119,0.991,0.997,0.994,0.998,0.998,0.990,0.998
0.01897,1.0819e+005,0.98892,0.99483,0.99491,0.00006,0.00128,0.991,0.997,0.993,0.998,0.997,0.989,0.998
0.01997,1.0808e+005,0.98822,0.99445,0.99453,0.00007,0.00137,0.990,0.997,0.993,0.998,0.997,0.988,0.998
0.02096,1.0797e+005,0.98750,0.99407,0.99416,0.00007,0.00146,0.990,0.997,0.992,0.998,0.997,0.987,0.997
0.02196,1.0786e+005,0.98674,0.99367,0.99377,0.00007,0.00156,0.989,0.996,0.992,0.998,0.997,0.987,0.997
0.02296,1.0775e+005,0.98598,0.99325,0.99337,0.00007,0.00166,0.988,0.996,0.992,0.997,0.997,0.986,0.997
0.02396,1.0764e+005,0.98523,0.99284,0.99297,0.00007,0.00176,0.988,0.996,0.991,0.997,0.996,0.985,0.996
0.02495,1.0753e+005,0.98443,0.99241,0.99255,0.00007,0.00187,0.987,0.995,0.991,0.997,0.996,0.984,0.996
0.02595,1.0742e+005,0.98369,0.99199,0.99214,0.00007,0.00197,0.987,0.995,0.990,0.997,0.996,0.984,0.996
0.02695,1.0731e+005,0.98291,0.99157,0.99173,0.00008,0.00208,0.986,0.995,0.990,0.997,0.996,0.983,0.995
0.02795,1.072e+005,0.98209,0.99115,0.99132,0.00008,0.00218,0.985,0.995,0.989,0.997,0.995,0.982,0.995
0.02894,1.0709e+005,0.98137,0.99071,0.99090,0.00008,0.00229,0.985,0.994,0.989,0.996,0.995,0.981,0.995
0.02994,1.0698e+005,0.98065,0.99026,0.99046,0.00008,0.00240,0.984,0.994,0.988,0.996,0.995,0.981,0.994
0.03094,1.0687e+005,0.97991,0.98981,0.99002,0.00008,0.00251,0.983,0.994,0.988,0.996,0.994,0.980,0.994
0.03194,1.0676e+005,0.97913,0.98936,0.98959,0.00008,0.00262,0.982,0.993,0.987,0.995,0.994,0.979,0.994
0.03293,1.0665e+005,0.97834,0.98893,0.98917,0.00008,0.00272,0.982,0.993,0.987,0.995,0.994,0.978,0.993
0.03393,1.0654e+005,0.97756,0.98850,0.98875,0.00008,0.00283,0.981,0.993,0.986,0.995,0.994,0.978,0.993
0.03493,1.0643e+005,0.97680,0.98803,0.98830,0.00008,0.00294,0.980,0.993,0.986,0.995,0.993,0.977,0.993
0.03593,1.0632e+005,0.97602,0.98761,0.98789,0.00008,0.00305,0.979,0.992,0.986,0.994,0.993,0.976,0.993
0.03692,1.0621e+005,0.97527,0.98715,0.98744,0.00009,0.00316,0.979,0.992,0.985,0.994,0.993,0.975,0.992
0.03792,1.061e+005,0.97453,0.98668,0.98699,0.00009,0.00327,0.978,0.992,0.985,0.994,0.993,0.975,0.992
0.03892,1.0599e+005,0.97381,0.98621,0.98653,0.00009,0.00339,0.977,0.991,0.984,0.993,0.992,0.974,0.991
0.03992,1.0588e+005,0.97302,0.98575,0.98609,0.00009,0.00350,0.976,0.991,0.984,0.993,0.992,0.973,0.991
0.04091,1.0577e+005,0.97229,0.98529,0.98564,0.00009,0.00362,0.976,0.991,0.983,0.993,0.992,0.972,0.991
0.04191,1.0566e+005,0.97158,0.98482,0.98517,0.00009,0.00373,0.975,0.990,0.983,0.992,0.992,0.972,0.990
