Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.00002,1.1028e+005,1.00001,1.00004,1.00003,-0.00001,-0.00001,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00102,1.1017e+005,0.99999,1.00003,1.00003,-0.00000,-0.00001,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00201,1.1006e+005,0.99998,1.00002,1.00002,-0.00000,-0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00301,1.0995e+005,0.99996,1.00001,1.00001,-0.00000,-0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00401,1.0984e+005,0.99994,1.00000,1.00000,-0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00501,1.0973e+005,0.99991,0.99999,0.99998,0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00600,1.0962e+005,0.99989,0.99997,0.99997,0.00000,0.00001,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00700,1.0951e+005,0.99986,0.99996,0.99995,0.00000,0.00001,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00800,1.094e+005,0.99984,0.99994,0.99993,0.00000,0.00002,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00900,1.0929e+005,0.99980,0.99992,0.99991,0.00000,0.00002,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00999,1.0918e+005,0.99976,0.99990,0.99989,0.00000,0.00003,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01099,1.0907e+005,0.99972,0.99988,0.99987,0.00000,0.00003,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01199,1.0896e+005,0.99967,0.99985,0.99984,0.00000,0.00004,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01298,1.0885e+005,0.99964,0.99983,0.99982,0.00000,0.00005,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01398,1.0874e+005,0.99960,0.99980,0.99979,0.00000,0.00005,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01498,1.0863e+005,0.99956,0.99977,0.99977,0.00000,0.00006,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01598,1.0852e+005,0.99952,0.99975,0.99974,0.00000,0.00007,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.01697,1.0841e+005,0.99948,0.99972,0.99971,0.00000,0.00007,1.000,1.000,1.000,1.000,1.000,0.999,1.000
0.01797,1.083e+005,0.99943,0.99970,0.99969,0.00000,0.00008,1.000,1.000,1.000,1.000,1.000,0.999,1.000
0.01897,1.0819e+005,0.99938,0.99967,0.99966,0.00000,0.00009,1.000,1.000,1.000,1.000,1.000,0.999,1.000
0.01997,1.0808e+005,0.99932,0.99964,0.99963,0.00000,0.00009,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02096,1.0797e+005,0.99924,0.99961,0.99960,0.00000,0.00010,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02196,1.0786e+005,0.99917,0.99958,0.99957,0.00000,0.00011,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02296,1.0775e+005,0.99909,0.99955,0.99954,0.00000,0.00012,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02396,1.0764e+005,0.99902,0.99951,0.99951,0.00000,0.00012,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02495,1.0753e+005,0.99894,0.99948,0.99947,0.00001,0.00013,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02595,1.0742e+005,0.99886,0.99944,0.99944,0.00001,0.00014,1.000,1.000,0.999,1.000,1.000,0.999,1.000
0.02695,1.0731e+005,0.99878,0.99941,0.99940,0.00001,0.00015,1.000,0.999,0.999,0.999,0.999,0.999,1.000
0.02795,1.072e+005,0.99869,0.99937,0.99937,0.00001,0.00016,1.000,0.999,0.999,0.999,0.999,0.999,1.000
0.02894,1.0709e+005,0.99859,0.99933,0.99933,0.00001,0.00017,1.000,0.999,0.999,0.999,0.999,0.999,1.000
0.02994,1.0698e+005,0.99851,0.99929,0.99929,0.00001,0.00018,1.000,0.999,0.999,0.999,0.999,0.999,1.000
0.03094,1.0687e+005,0.99840,0.99925,0.99925,0.00001,0.00019,1.000,0.999,0.999,0.999,0.999,0.998,1.000
0.03194,1.0676e+005,0.99829,0.99921,0.99921,0.00001,0.00020,1.000,0.999,0.999,0.999,0.999,0.998,1.000
0.03293,1.0665e+005,0.99819,0.99916,0.99917,0.00001,0.00021,0.999,0.999,0.999,0.999,0.999,0.998,1.000
0.03393,1.0654e+005,0.99806,0.99912,0.99912,0.00001,0.00022,0.999,0.999,0.999,0.999,0.999,0.998,0.999
0.03493,1.0643e+005,0.99794,0.99907,0.99908,0.00001,0.00023,0.999,0.999,0.999,0.999,0.999,0.998,0.999
0.03593,1.0632e+005,0.99781,0.99902,0.99903,0.00001,0.00024,0.999,0.999,0.999,0.999,0.999,0.998,0.999
0.03692,1.0621e+005,0.99768,0.99898,0.99899,0.00001,0.00025,0.999,0.999,0.999,0.999,0.999,0.998,0.999
0.03792,1.061e+005,0.99755,0.99893,0.99894,0.00001,0.00027,0.999,0.999,0.999,0.999,0.999,0.998,0.999
0.03892,1.0599e+005,0.99742,0.99888,0.99889,0.00001,0.00028,0.999,0.999,0.999,0.999,0.999,0.997,0.999
0.03992,1.0588e+005,0.99730,0.99883,0.99884,0.00001,0.00029,0.999,0.999,0.999,0.999,0.999,0.997,0.999
0.04091,1.0577e+005,0.99718,0.99878,0.99879,0.00001,0.00030,0.999,0.999,0.999,0.999,0.999,0.997,0.999
0.04191,1.0566e+005,0.99706,0.99873,0.99874,0.00001,0.00032,0.999,0.999,0.999,0.999,0.999,0.997,0.999
0.04291,1.0555e+005,0.99693,0.99868,0.99869,0.00001,0.00033,0.999,0.999,0.998,0.999,0.999,0.997,0.999
