Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,anc,bar,bra,car,cbe,cdo,cuc,egr,ele,ema,eso,fro,gsp,gur,hak,hap,hok,jdo,jgu,jmd,jmm,jmn,kah,kin,lea,lin,lso,mdo,nsd,pco,pil,pop,rbm,rbt,rco,rmu,scg,sch,sfl,ski,sna,spd,spe,spo,spz,ssh,ssi,sty,swa,tar,tre,war,wit,wra,ybf
0.00007,27541,0.99994,1.00000,1.00000,0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00105,27514,0.99916,0.99994,0.99993,0.00001,0.00002,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00203,27487,0.99840,0.99985,0.99984,0.00001,0.00004,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,0.998,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,0.999,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00301,27460,0.99724,0.99975,0.99975,0.00002,0.00006,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,0.999,1.000,0.999,0.998,0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.997,1.000,1.000,1.000,0.999,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00399,27433,0.99549,0.99964,0.99965,0.00002,0.00009,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.998,1.000,0.999,1.000,0.999,0.998,0.997,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.995,1.000,1.000,1.000,0.999,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00497,27406,0.99348,0.99948,0.99949,0.00002,0.00013,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.998,1.000,0.999,1.000,0.998,0.997,0.995,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.993,1.000,1.000,1.000,0.999,1.000,0.999,1.000,1.000,1.000,1.000,1.000,0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,1.000
0.00595,27379,0.99201,0.99908,0.99918,0.00003,0.00020,1.000,1.000,0.999,1.000,1.000,1.000,1.000,0.997,0.998,1.000,0.999,1.000,0.997,0.996,0.993,1.000,1.000,0.999,0.999,1.000,1.000,0.999,0.999,0.999,0.999,1.000,0.998,1.000,1.000,1.000,1.000,1.000,0.992,1.000,1.000,0.999,0.999,1.000,0.999,1.000,0.999,1.000,1.000,1.000,0.998,1.000,1.000,1.000,1.000,1.000,0.999,1.000,0.999,0.999,1.000
0.00693,27352,0.99058,0.99827,0.99863,0.00005,0.00034,1.000,0.998,0.997,0.999,1.000,1.000,1.000,0.994,0.998,0.999,0.999,0.999,0.996,0.995,0.993,0.999,1.000,0.997,0.998,0.999,0.999,0.998,0.997,0.996,0.995,1.000,0.998,1.000,1.000,1.000,1.000,0.999,0.991,0.999,0.999,0.998,0.998,0.999,0.998,1.000,0.998,0.999,1.000,0.999,0.997,1.000,1.000,1.000,1.000,0.999,0.996,0.999,0.999,0.996,1.000
0.00791,27325,0.98894,0.99726,0.99793,0.00008,0.00052,1.000,0.996,0.994,0.998,1.000,1.000,0.999,0.989,0.997,0.999,0.999,0.998,0.996,0.993,0.992,0.998,1.000,0.994,0.997,0.998,0.999,0.996,0.995,0.993,0.990,1.000,0.997,1.000,0.999,1.000,1.000,0.998,0.990,0.999,0.997,0.997,0.997,0.999,0.998,1.000,0.997,0.999,1.000,0.998,0.996,1.000,1.000,1.000,1.000,0.999,0.993,0.999,0.998,0.993,1.000
0.00890,27298,0.98418,0.99624,0.99723,0.00009,0.00069,1.000,0.995,0.991,0.997,1.000,1.000,0.998,0.984,0.997,0.998,0.999,0.997,0.996,0.991,0.992,0.997,1.000,0.991,0.996,0.997,0.998,0.993,0.992,0.990,0.985,1.000,0.997,0.999,0.999,1.000,1.000,0.997,0.989,0.998,0.996,0.995,0.996,0.999,0.998,1.000,0.995,0.999,1.000,0.997,0.995,1.000,1.000,1.000,1.000,0.998,0.990,0.998,0.998,0.990,1.000
